Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
0.0,0.2486509999999999,-1.0887177777777777,4.255231913580243
0.05,0.191274,-0.935514722222222,5.4702129938271575
0.1,0.133497,-0.5762703333333333,6.278189722222222
0.1499999999999999,0.13066,-0.175178888888889,4.875993796296295
0.2,0.1315999999999999,-0.0352505555555556,2.47390225308642
0.25,0.1314779999999999,-0.00762,1.5710711728395077
0.2999999999999999,0.1297899999999999,0.035208888888889,2.54279475308642
0.3499999999999999,0.131582,0.1750416666666667,4.8373472222222205
0.4,0.133305,0.5668611111111109,5.991019753086419
0.45,0.1879849999999999,0.9515616666666666,3.667454320987654
0.5,0.2455189999999999,1.0095594444444442,-0.3755601851851848
0.55,0.297014,0.8644838888888889,-3.7269774691358015
0.5999999999999999,0.3363789999999999,0.5840149999999998,-5.911712654320989
0.65,0.3583059999999999,0.2312716666666665,-6.9774370370370375
0.6999999999999998,0.3606729999999999,-0.1509283333333332,-7.067242283950615
0.75,0.3421219999999999,-0.5091477777777774,-6.236199074074073
0.8,0.307838,-0.8144422222222224,-4.321460802469139
0.8499999999999999,0.2566219999999999,-0.9974055555555555,-1.1385540123456792
0.9,0.2004799999999999,-0.9834866666666668,2.921022839506175
0.95,0.1423889999999999,-0.6553627777777777,5.73872839506173
1.0,0.1307639999999999,-0.2402805555555553,5.205088580246911
1.05,0.131165,-0.0521766666666665,2.90397685185185
1.1,0.132,-0.0092727777777778,1.6362413580246908
1.15,0.1305729999999999,0.0204372222222221,2.293616358024692
1.2,0.130886,0.1372016666666666,4.524595679012342
1.25,0.13066,0.5038999999999996,5.973884259259255
1.3,0.179092,0.9017288888888884,4.134920370370375
1.35,0.236069,1.0079255555555564,0.2975956790123491
1.4,0.2886779999999999,0.9005088888888892,-3.2166287037037136
1.45,0.3316279999999999,0.6371422222222217,-5.680029938271608
1.5,0.3559739999999999,0.2841272222222219,-6.929909259259252
1.55,0.3608989999999999,-0.0961766666666665,-7.130483333333332
1.6,0.3457939999999999,-0.4625833333333337,-6.399835802469144
1.65,0.3127109999999999,-0.7767644444444449,-4.58931759259259
1.7,0.2639309999999999,-0.9722461111111104,-1.5923941358024605
1.75,0.2087989999999999,-0.9881522222222212,2.291437962962961
1.8,0.150865,-0.7137527777777773,5.336521296296287
1.85,0.130851,-0.3064877777777779,5.403214197530864
1.9,0.1302939999999999,-0.075265,3.406969444444447
1.95,0.1303989999999999,0.0030505555555555,1.887628086419754
2.0,0.1325919999999999,0.0335411111111111,2.051031790123457
2.05,0.1322089999999999,0.1166661111111111,3.979038888888884
2.1,0.1315999999999999,0.4352611111111108,5.6631324074074
2.15,0.171017,0.8312511111111103,4.430356481481479
2.2,0.2273669999999999,0.9869233333333328,0.902422839506184
2.25,0.2802719999999999,0.9052772222222236,-2.6136614197530874
2.3,0.3227519999999999,0.6773894444444446,-5.175613271604944
2.35,0.35192,0.3484072222222221,-6.703288888888888
2.4,0.3599249999999999,-0.0349927777777777,-7.14776172839506
2.45,0.347812,-0.4072744444444445,-6.535378395061733
2.5,0.3173229999999999,-0.729901666666668,-4.833495987654327
2.55,0.270544,-0.9376855555555554,-1.9942376543209763
2.6,0.2172039999999999,-0.9738333333333328,1.6625472222222262
2.65,0.1616719999999999,-0.7616638888888883,4.849972222222217
2.7,0.131582,-0.3660672222222221,5.489839197530859
2.75,0.1319829999999999,-0.0903877777777776,3.6616617283950648
2.8,0.132609,-0.0117399999999999,1.9269240740740723
2.85,0.132609,0.0162599999999999,1.920162962962962
2.9,0.1324519999999999,0.094441111111111,3.638944135802468
2.95,0.132296,0.3654444444444444,5.488299382716054
3.0,0.161324,0.7670994444444456,4.8331574074074135
3.05,0.2186489999999999,0.9805333333333328,1.4943324074073965
3.1,0.2724409999999999,0.920453888888888,-2.2009817901234574
3.15,0.3162439999999999,0.7021049999999994,-4.836979629629622
3.2,0.3455149999999999,0.3940677777777777,-6.395382716049375
3.25,0.3581849999999999,0.0286272222222225,-7.002873148148157
3.3,0.348839,-0.3462705555555554,-6.593620679012344
3.35,0.3213079999999999,-0.6696822222222218,-5.15369444444444
3.4,0.278862,-0.9063111111111106,-2.588145061728397
3.45,0.2248089999999999,-0.9804905555555554,0.9885746913580143
3.5,0.1700079999999999,-0.8148638888888903,4.436903086419761
3.55,0.1318089999999999,-0.4269788888888888,5.57927870370371
3.6,0.132139,-0.1179711111111109,3.95593549382716
3.65,0.131722,-0.0298816666666666,2.132722530864196
3.7,0.130382,0.0125288888888887,1.9293111111111103
3.75,0.1321219999999999,0.0841399999999999,3.3642404320987693
3.8,0.1310949999999999,0.31618,5.282759259259254
3.85,0.153893,0.7171327777777771,5.043927469135796
3.9,0.2106609999999999,0.9637583333333324,1.9376793209876588
3.95,0.2640699999999999,0.9284616666666666,-1.7860027777777627
4.0,0.3092829999999999,0.730428333333335,-4.55454104938272
4.05,0.3407299999999999,0.4272577777777786,-6.20789969135804
4.1,0.354217,0.0709699999999998,-6.8298006172839365
4.15,0.3480559999999999,-0.2918411111111101,-6.513005555555547
4.2,0.323361,-0.6144277777777785,-5.282128703703732
4.25,0.283648,-0.8587211111111136,-3.028254320987665
4.3,0.2329189999999999,-0.9664650000000016,0.2600796296296588
4.35,0.1783259999999999,-0.866348888888886,3.9245163580246976
4.4,0.131687,-0.4880294444444431,5.699877469135772
4.45,0.1313389999999999,-0.1342427777777777,4.309359259259256
4.5,0.1319479999999999,-0.0296533333333332,2.2243182098765444
4.55,0.130991,0.0016683333333334,1.762219135802469
4.6,0.130938,0.060945,3.0842472222222135
4.65,0.130329,0.267300555555555,5.125903703703697
4.7,0.14681,0.663950000000001,5.275514814814843
4.75,0.2024119999999999,0.9459022222222248,2.4239950617284016
4.8,0.2559779999999999,0.9372266666666684,-1.2976916666666976
4.85,0.302234,0.7613349999999977,-4.120890432098772
4.9,0.3353349999999999,0.4825427777777763,-5.9165123456789885
4.95,0.353364,0.1367822222222225,-6.785070370370377
5.0,0.350144,-0.2341377777777785,-6.685292901234583
5.05,0.3283209999999999,-0.5687516666666677,-5.6228114197530745
